gene	cell_type	n_cells	mean_raw	mean_log1p	detection_fraction	mean_log1p_norm_by_gene	detection_norm_by_gene	group
GP1BA	Endothelial Cells	8624	0.023075139146567718	0.015713943566344906	0.022147495361781077	0.6280998210665826	0.6810354823747681	Endothelial Cells
HBB	Endothelial Cells	8624	0.22298237476808905	0.0655259851075393	0.055310760667903525	1.0	1.0	Endothelial Cells
ITGA2B	Endothelial Cells	8624	0.021103896103896104	0.014214148765866453	0.01971243042671614	0.1799092517232712	0.1956935633490933	Endothelial Cells
PF4	Endothelial Cells	8624	0.009160482374768089	0.006349562530639572	0.009160482374768089	0.2605381123203701	0.2659811489530877	Endothelial Cells
PPBP	Endothelial Cells	8624	0.01820500927643785	0.012204793534651398	0.016813543599257887	0.46443605334016336	0.45994382601525463	Endothelial Cells
GP1BA	Other cell types mean	161433	0.018777070798534867	0.012553127834074746	0.0172945907886367	0.5017593014203667	0.5318086667505785	Other cell types mean
HBB	Other cell types mean	161433	0.020605128721200298	0.01114552181495992	0.013410208710366975	0.17009315917445908	0.2424520753002197	Other cell types mean
ITGA2B	Other cell types mean	161433	0.02129782741182752	0.014159459296955937	0.019316927941369993	0.17921704414961323	0.19176724432118117	Other cell types mean
PF4	Other cell types mean	161433	0.009890631193013732	0.006806594530798795	0.009720402344256465	0.27929125539391236	0.2822388252100181	Other cell types mean
PPBP	Other cell types mean	161433	0.014750615527703853	0.009927154631696536	0.013741614733676896	0.37776374544580543	0.37590950527013905	Other cell types mean
