contour_id	myeloid_vascular_belt	stromal_encapsulation	emt_invasive_front	top_program	top_program_score
S1 11q13 Invasive Tumor Cells #1.1	0.4334855533266413	-0.0579407905867946	0.5683284661112814	emt_invasive_front	0.5683284661112814
S1 11q13 Invasive Tumor Cells #2.1	-0.1176545877241076	-0.619583743475447	0.2644888354269048	immune_exclusion	0.2937349610465833
S1 11q13 Invasive Tumor Cells #3.1	-0.0454067619809232	0.5398535016371937	0.8090999180286028	emt_invasive_front	0.8090999180286028
S1 11q13 Invasive Tumor Cells #4.1	0.3793475041390382	-0.0116450312274912	0.256764163516764	tls_adjacent_activation	0.6927641160854687
S2 Basal-like Structured DCIS Cells #1.1	0.4355937381193884	-0.377329872632301	-0.1860887889825052	necrotic_hypoxic_rim	0.5298084468447939
S2 Basal-like Structured DCIS Cells #2.1	-0.0285485177238885	-0.0651598992853902	-0.0304836522715466	immune_exclusion	0.2186192868323735
S2 Basal-like Structured DCIS Cells #3.1	0.4553408123506655	0.9994173416905704	0.9484490341559768	stromal_encapsulation	0.9994173416905704
S2 Basal-like Structured DCIS Cells #4.1	0.2410802658391648	0.0226241969177857	0.2717893555333086	emt_invasive_front	0.2717893555333086
S3 Macrophages #1.1	0.0115450230392833	-0.0254085801878057	-0.1819608797892177	immune_exclusion	0.2029425075950489
S3 Macrophages #2.1	-0.0966063171345518	-0.1512618731040318	-0.114941798914397	immune_exclusion	0.052170615366572
S3 Macrophages #3.1	0.5267022223431459	-0.3712353600437082	-0.1123596265710935	myeloid_vascular_belt	0.5267022223431459
S3 Macrophages #4.1	0.152004891832615	-0.2633896893872962	-0.3139457677356433	myeloid_vascular_belt	0.152004891832615
S4 Plasma Cells #1.1	0.0946414462187643	0.2493344276602241	0.3886590014152196	necrotic_hypoxic_rim	0.4862039632794231
S4 Plasma Cells #2.1	0.2404870371948907	0.3297774870113681	0.2496057464525008	stromal_encapsulation	0.3297774870113681
S4 Plasma Cells #3.1	0.3735224893845683	0.5550309191634312	0.3731415482746489	stromal_encapsulation	0.5550309191634312
S4 Plasma Cells #4.1	0.4158325059479379	-0.2132972352040328	0.2800242142813967	tls_adjacent_activation	0.7745669443457329
S5 Endothelial Cells #1.1	0.0115845637382797	-0.2388079202722123	-0.0807362573581977	immune_exclusion	0.2262427085770567
S5 Endothelial Cells #2.1	-0.0203694205888105	0.2186756868649962	0.1377794634366715	stromal_encapsulation	0.2186756868649962
S5 Endothelial Cells #3.1	0.0012971282270563	-0.1018515583909645	-0.2959806049558873	immune_exclusion	0.100883883785197
S5 Endothelial Cells #4.1	0.3634477920254799	0.5302423487509639	0.3178633789833752	stromal_encapsulation	0.5302423487509639
S6 Apocrine Cells #1.1	0.0789265301999407	-0.2939508054188885	-0.3282763080368268	necrotic_hypoxic_rim	0.4459280412119479
S6 Apocrine Cells #2.1	0.0001984908544542	-0.4393550311474627	0.07096520369238	immune_exclusion	0.2671631367571193
S6 Apocrine Cells #3.1	-0.0844037782812559	-0.2177855853166051	-0.3356586355659746	immune_exclusion	0.2148382624931089
S6 Apocrine Cells #4.1	0.2415067045946245	-0.3654092898274248	-0.1175132216446173	tls_adjacent_activation	0.9248120430631804
S7 Luminal-like Amorphous DCIS Cells #1.1	0.5726395582270783	-0.4168850390097132	0.0037894799844124	myeloid_vascular_belt	0.5726395582270783
S7 Luminal-like Amorphous DCIS Cells #2.1	0.1780893055732949	0.7330403543618594	0.660918816871581	stromal_encapsulation	0.7330403543618594
S7 Luminal-like Amorphous DCIS Cells #3.1	-0.2744129707617605	-0.5947994388060501	-0.4161374230191446	immune_exclusion	0.220625027725912
S7 Luminal-like Amorphous DCIS Cells #4.1	0.0102248297765553	0.0594793893182993	0.042015830123962	immune_exclusion	0.0646538731882529
