sample_id,contour_key,contour_id,ecotype_index,ecotype
WTA_Preview_FFPE_Breast_Cancer_outs,atera_boundary_ecology_contours,S1 11q13 Invasive Tumor Cells #1.1,0,ecotype_0
WTA_Preview_FFPE_Breast_Cancer_outs,atera_boundary_ecology_contours,S1 11q13 Invasive Tumor Cells #2.1,1,ecotype_1
WTA_Preview_FFPE_Breast_Cancer_outs,atera_boundary_ecology_contours,S1 11q13 Invasive Tumor Cells #3.1,1,ecotype_1
WTA_Preview_FFPE_Breast_Cancer_outs,atera_boundary_ecology_contours,S1 11q13 Invasive Tumor Cells #4.1,0,ecotype_0
WTA_Preview_FFPE_Breast_Cancer_outs,atera_boundary_ecology_contours,S2 Basal-like Structured DCIS Cells #1.1,0,ecotype_0
WTA_Preview_FFPE_Breast_Cancer_outs,atera_boundary_ecology_contours,S2 Basal-like Structured DCIS Cells #2.1,1,ecotype_1
WTA_Preview_FFPE_Breast_Cancer_outs,atera_boundary_ecology_contours,S2 Basal-like Structured DCIS Cells #3.1,1,ecotype_1
WTA_Preview_FFPE_Breast_Cancer_outs,atera_boundary_ecology_contours,S2 Basal-like Structured DCIS Cells #4.1,0,ecotype_0
WTA_Preview_FFPE_Breast_Cancer_outs,atera_boundary_ecology_contours,S3 Macrophages #1.1,1,ecotype_1
WTA_Preview_FFPE_Breast_Cancer_outs,atera_boundary_ecology_contours,S3 Macrophages #2.1,1,ecotype_1
WTA_Preview_FFPE_Breast_Cancer_outs,atera_boundary_ecology_contours,S3 Macrophages #3.1,1,ecotype_1
WTA_Preview_FFPE_Breast_Cancer_outs,atera_boundary_ecology_contours,S3 Macrophages #4.1,1,ecotype_1
WTA_Preview_FFPE_Breast_Cancer_outs,atera_boundary_ecology_contours,S4 Plasma Cells #1.1,1,ecotype_1
WTA_Preview_FFPE_Breast_Cancer_outs,atera_boundary_ecology_contours,S4 Plasma Cells #2.1,1,ecotype_1
WTA_Preview_FFPE_Breast_Cancer_outs,atera_boundary_ecology_contours,S4 Plasma Cells #3.1,1,ecotype_1
WTA_Preview_FFPE_Breast_Cancer_outs,atera_boundary_ecology_contours,S4 Plasma Cells #4.1,2,ecotype_2
WTA_Preview_FFPE_Breast_Cancer_outs,atera_boundary_ecology_contours,S5 Endothelial Cells #1.1,1,ecotype_1
WTA_Preview_FFPE_Breast_Cancer_outs,atera_boundary_ecology_contours,S5 Endothelial Cells #2.1,1,ecotype_1
WTA_Preview_FFPE_Breast_Cancer_outs,atera_boundary_ecology_contours,S5 Endothelial Cells #3.1,1,ecotype_1
WTA_Preview_FFPE_Breast_Cancer_outs,atera_boundary_ecology_contours,S5 Endothelial Cells #4.1,1,ecotype_1
WTA_Preview_FFPE_Breast_Cancer_outs,atera_boundary_ecology_contours,S6 Apocrine Cells #1.1,1,ecotype_1
WTA_Preview_FFPE_Breast_Cancer_outs,atera_boundary_ecology_contours,S6 Apocrine Cells #2.1,1,ecotype_1
WTA_Preview_FFPE_Breast_Cancer_outs,atera_boundary_ecology_contours,S6 Apocrine Cells #3.1,1,ecotype_1
WTA_Preview_FFPE_Breast_Cancer_outs,atera_boundary_ecology_contours,S6 Apocrine Cells #4.1,3,ecotype_3
WTA_Preview_FFPE_Breast_Cancer_outs,atera_boundary_ecology_contours,S7 Luminal-like Amorphous DCIS Cells #1.1,0,ecotype_0
WTA_Preview_FFPE_Breast_Cancer_outs,atera_boundary_ecology_contours,S7 Luminal-like Amorphous DCIS Cells #2.1,1,ecotype_1
WTA_Preview_FFPE_Breast_Cancer_outs,atera_boundary_ecology_contours,S7 Luminal-like Amorphous DCIS Cells #3.1,1,ecotype_1
WTA_Preview_FFPE_Breast_Cancer_outs,atera_boundary_ecology_contours,S7 Luminal-like Amorphous DCIS Cells #4.1,1,ecotype_1
