label,protein,gene,mean_signed_discordance,mean_abs_discordance,protein_rna_correlation
alpha_sma,alphaSMA,ACTA2,0.8514541983604431,1.4604041576385498,0.24057118032217234
vimentin,Vimentin,VIM,0.2943122982978821,1.3483577966690063,0.23423659787404805
e_cadherin,E-Cadherin,CDH1,-0.3815441429615021,1.1603587865829468,0.012076920663170017
hla_dr,HLA-DR,HLA-DRA,0.4475353956222534,1.1139249801635742,0.5431098714122176
vista,VISTA,VSIR,0.14021478593349457,0.9327681064605713,0.13089704463793642
cd68,CD68,CD68,0.29845306277275085,0.7725370526313782,0.4633027466193608
cd31,CD31,PECAM1,-9.859076754992202e-08,0.7390592098236084,0.47884746227578734
lag3,LAG-3,LAG3,2.097675810830424e-08,0.676246702671051,0.316887499989153
pd1,PD-1,PDCD1,2.9367461351625934e-08,0.6748290061950684,0.1810079743568706
cd163,CD163,CD163,-4.405119113926048e-08,0.603246808052063,0.4962475804049801
panck,PanCK,EPCAM,-8.390703243321695e-09,0.5312733054161072,0.07455841696806126
cd138,CD138,SDC1,1.2586054864982543e-08,0.4858684837818146,0.3223149546279188
granzymeb,GranzymeB,GZMB,-4.326456348735519e-08,0.3863629698753357,0.3151278900052065
pd_l1,PD-L1,CD274,8.390703243321695e-09,0.37865740060806274,0.023253162389686072
cd20,CD20,MS4A1,0.0,0.20119735598564148,0.7670505865037502
